id,entry,complete_patent,patent_id,name,location,description,date
1,"30419. — MANHÈS, P., in Lyon, Frankreich; Vertreter: R. LÜDERS in Görlitz. Verfahren zur Behandlung gold- und silberhaltiger Mineralien und anderer Stoffe. 22. Juli 1884.",1,30419,"MANHÈS, P.","Lyon, Frankreich",Verfahren zur Behandlung gold- und silberhaltiger Mineralien und anderer Stoffe.,22. Juli 1884
2,"26286. — MARTHAUS, A., in Oschatz. Neuerungen an Filz-, Fach- und ähnlichen Maschinen. (II. Zusatz zu P. R. 22799.) 12. April 1883. — A 247.",1,26286,"MARTHAUS, A.",Oschatz,"Neuerungen an Filz-, Fach- und ähnlichen Maschinen",12. April 1883
3,"26384. — VERO, CH., und J. EVERITT in London; Vertreter: J. MOELLER in Würzburg, Domstrasse 34. Neuerungen in der Erzeugung plattirter Filzkörper für Hüte. 26. August 1883. — A 219.",1,26384,"VERO, CH. und J. EVERITT",London,Neuerungen in der Erzeugung plattirter Filzkörper für Hüte.,26. August 1883
4,"(†) 26688. — BACKHOFF & Co., H., in Dresden-Altstadt. Verfahren und Einrichtung, um auf der LINON-Presse LINON-Façons und Filzhüte mittelst Dampfheizung herzustellen. 27. April 1883. — A 320.",1,26688,"BACKHOFF & Co., H.",Dresden-Altstadt,"Verfahren und Einrichtung, um auf der LINON-Presse LINON-Façons und Filzhüte mittelst Dampfheizung herzustellen.",27. April 1883
5,27833. — GRAHL & HOEHL in Dresden. Maschine zum Façoniren von Hutkrämpen und zum Pressen von Hüten mittelst hydraulischen Druckes. 20. Dezember 1883. — A 553.,1,27833,GRAHL & HOEHL,Dresden,Maschine zum Façoniren von Hutkrämpen und zum Pressen von Hüten mittelst hydraulischen Druckes.,20. Dezember 1883
6,"29423. — BRACHER, G. ST., in New-York, V. St. A.; Vertreter: C. KESSELER in Berlin SW., Königgrätzerstrasse 47. Neuerung in der Behandlung von Stuhlrohr und Verwendung desselben zum Einfassen von Hutschweifsleder und für andere Zwecke. 16. April 1884. — A 742.",1,29423,"BRACHER, G. ST.","New-York, V. St. A.",Neuerung in der Behandlung von Stuhlrohr und Verwendung desselben zum Einfassen von Hutschweifsleder und für andere Zwecke.,16. April 1884
7,"30474. — CHEETHAM, F. W., in Hyde, Grafschaft Chester, England; Vertreter: WIRTH & Co. in Frankfurt a. M. Einfassung des Schweifsleders an Hüten. 22. Juli 1884.",1,30474,"CHEETHAM, F. W.","Hyde, Grafschaft Chester, England",Einfassung des Schweifsleders an Hüten.,22. Juli 1884
8,"26107. — GIESING, C. J., Oberlehrer an der Kgl. Realschule in Döbeln. Rechenapparat. 31. Juli 1883. — A 266.",1,26107,"GIESING, C. J.",Döbeln,Rechenapparat.,31. Juli 1883
9,"26163. — STEVENS, J., in Neenah, Wisconsin, V. St. A.; Vertreter: J. BRANDT in Berlin W., Königgrätzerstrasse 131. Neuerungen an selbstthätigen Wägevorrichtungen. 23. Mai 1883. — A 279.",1,26163,"STEVENS, J.","Neenah, Wisconsin, V. St. A.",Neuerungen an selbstthätigen Wägevorrichtungen.,23. Mai 1883
10,"26184. — SHAVER, G. F., in Erie, Pennsylvanien, V. St. A.; Vertreter: BRYDGES & Co. in Berlin SW., Königgrätzerstr. 107. Wechselsystem für akustische Telephone. 1. März 1883. — A 248.",1,26184,"SHAVER, G. F.","Erie, Pennsylvanien, V. St. A.",Wechselsystem für akustische Telephone.,1. März 1883
11,"26196. — SCHMIDT & HAENSCH, F., in Berlin. Photometer. 20. Juli 1883. — A 248.",1,26196,"SCHMIDT & HAENSCH, F.",Berlin,Photometer.,20. Juli 1883
12,26254. — KALLMEYER & BLOM in Ottensen. Neuerung an oberschaligen Tafelwaagen. 10. August 1883. — A 248.,1,26254,KALLMEYER & BLOM,Ottensen,Neuerung an oberschaligen Tafelwaagen.,10. August 1883
13,"26260. — WEIDTMAN, J., in Dortmund. Kontrolapparat für Bergwerksmaschinen. 20. Juli 1883. — A 248.",1,26260,"WEIDTMAN, J.",Dortmund,Kontrolapparat für Bergwerksmaschinen.,20. Juli 1883
14,"26273. — WÖLNER, E., in Liverpool, County of Lancaster, England; Vertreter: C. KESSELER in Berlin SW., Königgrätzerstr. 47. Zeigerwaage mit hydraulischer Regulirung. 15. September 1883. — A 206.",1,26273,"WÖLNER, E.","Liverpool, County of Lancaster, England",Zeigerwaage mit hydraulischer Regulirung.,15. September 1883
15,"(†) 26500. — MITCHELL, W. H., in Boston, Amerika; Vertreter: WIRTH & Co. in Frankfurt a. M. Stellzirkel. 27. Juni 1883. — A 249.",1,26500,"MITCHELL, W. H.","Boston, Amerika",Stellzirkel.,27. Juni 1883
16,"(†) 26501. — WACHS, A., und O. LÜDOLFF in Leipzig, Hallesche Strasse 12. Hülfsinstrument zum perspektivischen Zeichnen. 11. Juli 1883. — A 298.",1,26501,"WACHS, A., und O. LÜDOLFF","Leipzig, Hallesche Strasse 12",Hülfsinstrument zum perspektivischen Zeichnen.,11. Juli 1883
17,"26513. — SPETZLER, F., in Grabow a. d. Oder, Giefsereistr. 43. Neuerungen an Indikatoren. 7. September 1883. — A 354.",1,26513,"SPETZLER, F.","Grabow a. d. Oder, Giefsereistr. 43",Neuerungen an Indikatoren.,7. September 1883
18,"26517. — HENSLER, J., in Battenberg, Reg.-Bez. Wiesbaden. Entfernungsmesser. 18. September 1883. — A 298.",1,26517,"HENSLER, J.","Battenberg, Reg.-Bez. Wiesbaden",Entfernungsmesser.,18. September 1883
19,"(†) 26552. — DE MESMAEKER, L. J., in Brüssel; Vertreter: C. PIEPER in Berlin SW., Gneisenaustrasse 109/110. Droschkenkontrolapparat. 22. Juli 1883. — A 298.",1,26552,"DE MESMAEKER, L. J.",Brüssel,Droschkenkontrolapparat.,22. Juli 1883
