id,entry,complete_patent,patent_id,name,location,description,date
1,"109430. Kluge, F., Barmen. Schaltvorrichtung an Ventilatoren. 8/2 99. — A 642.",1,109430,"Kluge, F.",Barmen,Schaltvorrichtung an Ventilatoren.,8/2 99
2,"(†) 109462. von Perbandt-Windheim, E., u. Frau Dr L. Koch geb. Stolcke, Berlin, Urbanstr. 27 bzw. Bayreutherstr. 27. Verschlußvorrichtung für Dienthüren. 16/6 99. — A 642.",1,109462,"von Perbandt-Windheim, E., u. Frau Dr L. Koch geb. Stolcke","Berlin, Urbanstr. 27 bzw. Bayreutherstr. 27",Verschlußvorrichtung für Dienthüren.,16/6 99
3,"109500. Demmer, Gebrüder, Eisenach. Wasserbadkocheinrichtung. 9/3 99. — A 642.",1,109500,"Demmer, Gebrüder",Eisenach,Wasserbadkocheinrichtung.,9/3 99
4,"109542. Grove, D., Berlin, Friedrichstr. 24. Beneckvorrichtung für Staubfänger. 14/5 99. — A 681.",1,109542,"Grove, D.","Berlin, Friedrichstr. 24",Beneckvorrichtung für Staubfänger.,14/5 99
5,"109926. Troppen, J., Deutz-Köln a/Rh. Ventilationsvorrichtung; Zus. z. Pat. 83747. 28/3 99. — A 731.",1,109926,"Troppen, J.",Deutz-Köln a/Rh.,Ventilationsvorrichtung,28/3 99
6,"109953. Wendel, E. F. F., Alversgehofen, Poststr. 18c. Herdplatte mit um einen Bolzen drehbaren Ringen; Zus. z. Pat. 105358. 17/5 99. — A 731.",1,109953,"Wendel, E. F. F.","Alversgehofen, Poststr. 18c",Herdplatte mit um einen Bolzen drehbaren Ringen,17/5 99
7,"110052. Bachmann, F. F., A. Vogt, E. C. Weiner, Dr J. Kirchner, A. König u. Dr A. Jörg, Wien; Vertr.: E. Fehlert u. G. Loubier, Berlin, Dorotheenstr. 32. Elektrische Heizvorrichtung aus Kunststeinmasse zur regelbaren Erwärmung eines Metallkörpers von innen nach außen. 4/10 98. — A 731.",1,110052,"Bachmann, F. F., A. Vogt, E. C. Weiner, Dr J. Kirchner, A. König u. Dr A. Jörg",Wien,Elektrische Heizvorrichtung aus Kunststeinmasse zur regelbaren Erwärmung eines Metallkörpers von innen nach außen.,4/10 98
8,"110394. Witkowicz, W., Kiew; Vertr.: C. v. Ossowski, Berlin, Potsdamerstr. 3. Ein beweglicher Heizkörper. 22/1 99. — A 836.",1,110394,"Witkowicz, W.",Kiew,Ein beweglicher Heizkörper.,22/1 99
9,"110750. Barckmann, G. F. W., u. C. F. Barckmann, Hamburg, Eilbeckerweg 57. Flüssigkeitserhitzer. 5/2 99. — A 837.",1,110750,"Barckmann, G. F. W., u. C. F. Barckmann","Hamburg, Eilbeckerweg 57",Flüssigkeitserhitzer.,5/2 99
10,"110751. Beutier, L., u. Ch. Bernier, Paris; Vertr.: D. Krueger, Dorotheenstr. 31, u. H. Heimann, Neue Wilhelmstr. 13, Berlin. Windschutz-Absaugvorrichtung für Gasfeuerungen. 15/3 99. — A 837.",1,110751,"Beutier, L. u. Ch. Bernier",Paris,Windschutz-Absaugvorrichtung für Gasfeuerungen.,15/3 99
