id,entry,complete_patent,patent_id,name,location,description,date
1,"treter: TH. LORENZ in Berlin S.W., Hornstr. 11. Feuerungsanlage mit unterer Brennmaterialzuführung. 2. März 1892. — A 620.",1,NaN,NaN,NaN,Feuerungsanlage mit unterer Brennmaterialzuführung.,2. März 1892
2,"68629. — STOTT, J. A., und A. H. STOTT JR. in Manchester, England; Vertreter: A. MÜHLE und W. ZIOLECKI in Berlin W., Friedrichstrafse 78. Wasserröhrenkessel mit sich kreuzenden Röhren. 1. Mai 1892. — A 668.",1,68629,"STOTT, J. A., und A. H. STOTT JR.","Manchester, England",Wasserröhrenkessel mit sich kreuzenden Röhren.,1. Mai 1892
3,"68640. — ZARGES, H., in Grofs-Gerau, Niedergasse. Signalapparat für tiefsten und höchsten Wasserstand in Dampfkesseln. 20. September 1892. — A 668.",1,68640,"ZARGES, H.","Grofs-Gerau, Niedergasse",Signalapparat für tiefsten und höchsten Wasserstand in Dampfkesseln.,20. September 1892
4,"68657. — GRIMSHAW, W. D., in Plantation Mills, Accrington, Grafschaft Lancaster, England; Vertreter: C. PIEPER und H. SPRINGMANN in Berlin N.W., Hindersinstr. 3. Beschickungsvorrichtung für Feuerungen. 8. Juni 1892. — A 621.",1,68657,"GRIMSHAW, W. D.","Plantation Mills, Accrington, Grafschaft Lancaster, England",Beschickungsvorrichtung für Feuerungen.,8. Juni 1892
5,"69060. — STEINMÜLLER, L. & C., in Gummersbach, Rheinprovinz. Tenbrink - Feuerung für Wasserröhren-Dampfkessel. (Zusatz zum Patente Nr. 40131.) 25. März 1892. — A 720.",1,69060,"STEINMÜLLER, L. & C.","Gummersbach, Rheinprovinz",Tenbrink - Feuerung für Wasserröhren-Dampfkessel,25. März 1892
6,"69078. — WEBSTER, W., in Philadelphia, Pennsylvanien, V. St. A.; Vertreter: C. PATAKY in Berlin S., Prinzenstr. 100. Vorwärmer mit Ventilanordnungen zur Erhaltung der Spannung innerhalb bestimmter Grenzen. 14. Juli 1891. — A 721.",1,69078,"WEBSTER, W.","Philadelphia, Pennsylvanien, V. St. A.",Vorwärmer mit Ventilanordnungen zur Erhaltung der Spannung innerhalb bestimmter Grenzen.,14. Juli 1891
7,"69080. — STRONG, G. S., in New-York, Broadway 45, V. St. A.; Vertreter: C. PATAKY in Berlin S., Prinzenstr. 100. Feuerbüchse aus gewelltem Blech für Dampfkessel. 29. Dezember 1891. — A 743.",1,69080,"STRONG, G. S.","New-York, Broadway 45, V. St. A.",Feuerbüchse aus gewelltem Blech für Dampfkessel.,29. Dezember 1891
8,"69082. — HERRMANN, E., & COHEN, Firma, in Paris; Vertreter: A. BAERMANN in Berlin N.W., Luisenstr. 43/44. Feuerungsanlage. (2. Zusatz zum Patente Nr. 41144.) 18. Juni 1892. — A 721.",1,69082,"HERRMANN, E., & COHEN, Firma",Paris,Feuerungsanlage.,18. Juni 1892
9,"69083. — WILKINSON, A., in Bridgeport, Montgomery County, Pennsylvania, V. St. A.; Vertreter: C. FEHLERT und G. LOUBIER in Berlin N.W., Dorotheenstr. 32. Feuerungsanlage für staubförmiges Brennmaterial. 10. August 1892. A 721.",1,69083,"WILKINSON, A.","Bridgeport, Montgomery County, Pennsylvania, V. St. A.",Feuerungsanlage für staubförmiges Brennmaterial.,10. August 1892
10,"69086. — SCHILLING & CO. in Dresden, Ostra-Allee Nr. 7. Vorrichtung zur äufseren Reinigung von Feuerrohren. 9. Oktober 1892. — A 721.",1,69086,SCHILLING & CO.,"Dresden, Ostra-Allee Nr. 7",Vorrichtung zur äufseren Reinigung von Feuerrohren.,9. Oktober 1892
