id,entry,complete_patent,patent_id,name,location,description,date
1,"140032. Armstrong, John, London; Vertr.: H. G. Schmidt, Pat.-Anw., Berlin S.W. 61. Verfahren zum Kondensieren destillierbarer Metalle. 14/9 00. — A 680.",1,140032,"Armstrong, John",London,Verfahren zum Kondensieren destillierbarer Metalle.,14/9 00
2,"140207. Klepetko, Frank, Anaconda u. William John Evans, Great Falls, V. St. A.; Vertr.: Dr S. Hamburger, Pat.-Anw., Berlin W. 8. Aufgebevorrichtung für ununterbrochen arbeitende Röstöfen. 21/5 02. — A 720.",1,140207,"Klepetko, Frank und William John Evans","Anaconda u. Great Falls, V. St. A.",Aufgebevorrichtung für ununterbrochen arbeitende Röstöfen.,21/5 02
3,"140231. Rübel, Walter, Petersburgerstr. 77, u. Nathan Bernstein, Roonstr. 4, Berlin. Verfahren zur Darstellung von Aluminium. 3/1 02. — A 640.",1,140231,"Rübel, Walter und Nathan Bernstein","Petersburgerstr. 77, u. Roonstr. 4, Berlin",Verfahren zur Darstellung von Aluminium.,3/1 02
4,"140232. Bergmann, Franz Josef, Neheim a/Ruhr. Verfahren zur Darstellung von Nickel aus Nickelerzen. 1/5 02. — A 641.",1,140232,"Bergmann, Franz Josef",Neheim a/Ruhr,Verfahren zur Darstellung von Nickel aus Nickelerzen.,1/5 02
5,"140522 (†). Plews, Arthur Stephen, London; Vertr.: Dr W. Häberlein, Pat.-Anw., Friedenau. Verfahren zur Darstellung von Antimonoxyd unmittelbar aus dem Roherz durch Sublimation. 13/2 02. — A 788.",1,140522,"Plews, Arthur Stephen",London,Verfahren zur Darstellung von Antimonoxyd unmittelbar aus dem Roherz durch Sublimation.,13/2 02
6,"140554. Schmieder, Paul, Alpine, O/S. Verfahren zur Gewinnung von Zink in einem Schachtofen. 26/3 02. — A 788.",1,140554,"Schmieder, Paul","Alpine, O/S",Verfahren zur Gewinnung von Zink in einem Schachtofen.,26/3 02
7,"140737. Chemische Fabrik Griesheim-Elektron, Frankfurt a/M. Verfahren zur Darstellung von Alkalimetallen. 27/3 02. — A 788.",1,140737,Chemische Fabrik Griesheim-Elektron,Frankfurt a/M,Verfahren zur Darstellung von Alkalimetallen.,27/3 02
8,"141105. Rübel, Walter, Petersburgerstr. 77, u. Nathan Bernstein, Roonstr. 4, Berlin. Verfahren zur Darstellung von Aluminium; Zus. z. Pat. 140231. 29/4 02. — A 861.",1,141105,"Rübel, Walter und Nathan Bernstein","Petersburgerstr. 77, u. Roonstr. 4, Berlin",Verfahren zur Darstellung von Aluminium,29/4 02
9,"141225 (†). Sperry, Elmer Ambrose, Cleveland; Vertr.: Th. Hauske, Pat.-Anw., Berlin S.W. 61. Verfahren und Vorrichtung zur Wiedergewinnung des Bleis aus verbrauchten Sammlerbatterien durch Verschmelzen mit Kohle und Flußmitteln. 20/3 00. — A 894.",1,141225,"Sperry, Elmer Ambrose",Cleveland,Verfahren und Vorrichtung zur Wiedergewinnung des Bleis aus verbrauchten Sammlerbatterien durch Verschmelzen mit Kohle und Flußmitteln.,20/3 00
10,"141811. Clotten, Egon Franz Joseph, Frankfurt a/M., Beethovenstr. 56. Verfahren zur Gewinnung von reinem Wolfram aus Wolframerzen, wolframhaltigen Schlacken und Aschen aller Art. 25/6 02. — A 956.",1,141811,"Clotten, Egon Franz Joseph","Frankfurt a/M., Beethovenstr. 56","Verfahren zur Gewinnung von reinem Wolfram aus Wolframerzen, wolframhaltigen Schlacken und Aschen aller Art.",25/6 02
