id,entry,complete_patent,patent_id,name,location,description,date
1,"12. 291 892. Farbwerke vorm. Meister Lucius & Brüning, Höchst a/M. Verfahren zur Herstellung von gelben unlöslichen Azofarben auf der Faser. 30/6 14. — A 494.",1,291892,Farbwerke vorm. Meister Lucius & Brüning,Höchst a/M.,Verfahren zur Herstellung von gelben unlöslichen Azofarben auf der Faser.,30/6 14
2,"12. 293 358. Actien-Gesellschaft für Anilin-Fabrikation, Berlin-Treptow. Verfahren zur Darstellung grüner substantiver Trisazofarbstoffe; Zus. z. Pat. 288 278. 14/7 15. — A 799.",1,293358,Actien-Gesellschaft für Anilin-Fabrikation,Berlin-Treptow,Verfahren zur Darstellung grüner substantiver Trisazofarbstoffe,14/7 15
3,"12. 293 375. Chemische Fabrik Griesheim-Elektron, Frankfurt a/M. Verfahren zur Erzeugung echter schwarzer Färbungen auf der Faser. 7/9 15. — A 799.",1,293375,Chemische Fabrik Griesheim-Elektron,Frankfurt a/M,Verfahren zur Erzeugung echter schwarzer Färbungen auf der Faser.,7/9 15
4,"12. 294 780. Farbwerke vorm. Meister Lucius & Brüning, Höchst a/M. Verfahren zur Erzeugung echter türkisch-rotähnlicher Färbungen. 20/3 14. — A 1074.",1,294780,Farbwerke vorm. Meister Lucius & Brüning,Höchst a/M,Verfahren zur Erzeugung echter türkisch-rotähnlicher Färbungen.,20/3 14
5,"12. 294 798. Farbenfabriken vorm. Friedr. Bayer & Co., Leverkusen b/Cöln a/Rh. Verfahren zur Erzeugung von Azofarbstoffen auf der Faser. 26/11 14. — A 1074.",1,294798,Farbenfabriken vorm. Friedr. Bayer & Co.,Leverkusen b/Cöln a/Rh.,Verfahren zur Erzeugung von Azofarbstoffen auf der Faser.,26/11 14
6,"12. 294 931. Farbenfabriken vorm. Friedr. Bayer & Co., Leverkusen b/Cöln a/Rh. Verfahren zur Herstellung von schwarzen Färbungen auf Wolle; Zus. z. Pat. 291 021. 9/12 15. — A 1099.",1,294931,Farbenfabriken vorm. Friedr. Bayer & Co.,Leverkusen b/Cöln a/Rh.,Verfahren zur Herstellung von schwarzen Färbungen auf Wolle,9/12 15
7,"12. 295 072. Farbenfabriken vorm. Friedr. Bayer & Co., Leverkusen b/Cöln a/Rh. Verfahren zur Herstellung waschechter Färbungen auf der Faser. 18/10 14. — A 1121.",1,295072,Farbenfabriken vorm. Friedr. Bayer & Co.,Leverkusen b/Cöln a/Rh.,Verfahren zur Herstellung waschechter Färbungen auf der Faser.,18/10 14
8,"12. 296 141. Farbwerke vorm. Meister Lucius & Brüning, Höchst a/M. Verfahren zur Erzeugung echter Färbungen auf Baumwolle und verwandten Fasern. 31/5 14.",1,296141,Farbwerke vorm. Meister Lucius & Brüning,Höchst a/M.,Verfahren zur Erzeugung echter Färbungen auf Baumwolle und verwandten Fasern.,31/5 14
9,"12. 296 142. Farbenfabriken vorm. Friedr. Bayer & Co., Leverkusen b/Cöln a/Rh. Verfahren zur Herstellung von Färbungen. 10/2 16.",1,296142,Farbenfabriken vorm. Friedr. Bayer & Co.,Leverkusen b/Cöln a/Rh.,Verfahren zur Herstellung von Färbungen.,10/2 16
10,"13. 291 076. Chemische Fabrik Griesheim-Elektron, Frankfurt a/M. Zur Farbstoffherstellung geeignete Präparate in trockner oder Pastenform. 15/11 14. — A 354.",1,291076,Chemische Fabrik Griesheim-Elektron,Frankfurt a/M,Zur Farbstoffherstellung geeignete Präparate in trockner oder Pastenform.,15/11 14
11,"1. 290 598. Ernst Dzieyk, Berlin, Bremer Str. 48. Verfahren zur Herstellung staubfreier, trockener Vordruckfarben für Stickereien u dgl. 29/7 14. — A 254.",1,290598,Ernst Dzieyk,"Berlin, Bremer Str. 48","Verfahren zur Herstellung staubfreier, trockener Vordruckfarben für Stickereien u dgl.",29/7 14
12,"1. 290 975. Farbenfabriken vorm. Friedr. Bayer & Co., Leverkusen b/Cöln a/Rh. Verfahren zur Herstellung echter Drucke auf der Textilfaser. 7/7 14. — A 338.",1,290975,Farbenfabriken vorm. Friedr. Bayer & Co.,Leverkusen b/Cöln a/Rh.,Verfahren zur Herstellung echter Drucke auf der Textilfaser.,7/7 14
13,"1. 291 802. Farbenfabriken vorm. Friedr. Bayer & Co., Leverkusen b/Cöln a/Rh. Neuerung beim Druck von Textilstoffen. 3/8 15. — A 494.",1,291802,Farbenfabriken vorm. Friedr. Bayer & Co.,Leverkusen b/Cöln a/Rh.,Neuerung beim Druck von Textilstoffen.,3/8 15
